Temperatura;Densidade;Calor especifico;Condutividade térmica;Viscosidade;
5;666,7;2142,2;0,11094;0,00033341;
10;662,22;2165;0,10936;0,00031663;
15;657,72;2188,2;0,10779;0,00030102;
20;653,18;2211,6;0,10622;0,00028646;
25;648,6;2235,4;0,10466;0,00027287;
30;643,99;2259,4;0,10312;0,00026014;
35;639,33;2283,8;0,10158;0,0002482;
40;634,63;2308,4;0,10006;0,00023698;
45;629,88;2333,4;0,098558;0,00022642;
50;625,07;2358,7;0,097069;0,00021646;
55;620,21;2384,3;0,095598;0,00020706;
60;615,29;2410,3;0,094146;0,00019816;
60,212;615,08;2411,4;0,094085;0,0001978;
60,212;3,3108;1.872;0,018875;0,00000767;
65;3,2552;1.891;0,019394;0,00000779;
70;3,1995;1.912;0,019942;0,00000792;
75;3,1461;1.932;0,020496;0,00000804;
80;3,0947;1.953;0,021057;0,00000816;
85;3,0452;1.974;0,021623;0,00000828;
90;2,9975;1.995;0,022195;0,00000841;
95;2,9516;2.016;0,022774;0,00000853;
100;2,9072;2.037;0,023358;0,00000865;
105;2,8643;2.059;0,023947;0,00000877;
110;2,8228;2.080;0,024542;0,00000889;
115;2,7827;2.101;0,025142;0,00000901;
120;2,7438;2.122;0,025747;0,00000913;
125;2,7061;2.143;0,026358;0,00000926;
130;2,6696;2.165;0,026973;0,00000938;
135;2,6341;2.186;0,027593;0,00000949;
140;2,5996;2.207;0,028218;0,00000961;
145;2,5661;2.228;0,028847;0,00000973;
150;2,5335;2.249;0,029481;0,00000985;
155;2,5018;2.270;0,030119;0,00000997;
160;2,471;2.291;0,030761;0,0000101;
165;2,4409;2.311;0,031407;0,0000102;
170;2,4117;2.332;0,032057;0,0000103;
175;2,3831;2.353;0,032711;0,0000104;
180;2,3553;2.373;0,033368;0,0000106;
185;2,3282;2.394;0,034029;0,0000107;
190;2,3017;2.414;0,034694;0,0000108;
195;2,2759;2.434;0,035361;0,0000109;
200;2,2507;2.454;0,036032;0,000011;
