Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;0,75676;2173,3;0,023283;9,37E-06
10;0,74264;2169;0,023669;9,55E-06
15;0,72908;2166,2;0,024073;9,73E-06
20;0,71605;2164,7;0,024495;9,91E-06
25;0,70351;2164,5;0,024935;1,01E-05
30;0,69144;2165,2;0,025392;1,03E-05
35;0,67979;2166,9;0,025866;1,05E-05
40;0,66856;2169,4;0,026358;1,06E-05
45;0,6577;2172,6;0,026866;1,08E-05
50;0,64722;2176,4;0,02739;1,10E-05
55;0,63707;2180,8;0,02793;1,12E-05
60;0,62725;2185,7;0,028485;1,14E-05
65;0,61774;2191,1;0,029056;1,16E-05
70;0,60853;2196,8;0,029641;1,18E-05
75;0,59959;2203;0,030241;1,20E-05
80;0,59093;2209,5;0,030855;1,22E-05
85;0,58251;2216,4;0,031482;1,24E-05
90;0,57434;2223,5;0,032123;1,25E-05
95;0,5664;2230,9;0,032777;1,27E-05
100;0,55868;2238,6;0,033443;1,29E-05
105;0,55118;2246,5;0,034121;1,31E-05
110;0,54388;2254,6;0,034811;1,33E-05
115;0,53677;2262,9;0,035512;1,35E-05
120;0,52985;2271,5;0,036224;1,37E-05
125;0,52311;2280,1;0,036946;1,39E-05
130;0,51654;2289;0,037678;1,41E-05
135;0,51013;2298;0,038419;1,43E-05
140;0,50389;2307,1;0,03917;1,45E-05
145;0,4978;2316,4;0,039928;1,47E-05
150;0,49186;2325,9;0,040695;1,49E-05
155;0,48605;2335,4;0,04147;1,51E-05
160;0,48039;2345;0,042251;1,53E-05
165;0,47486;2354,8;0,043039;1,55E-05
170;0,46945;2364,7;0,043833;1,57E-05
175;0,46417;2374,6;0,044633;1,58E-05
180;0,45901;2384,7;0,045437;1,60E-05
185;0,45396;2394,9;0,046246;1,62E-05
190;0,44902;2405,1;0,047059;1,64E-05
195;0,44419;2415,4;0,047876;1,66E-05
200;0,43946;2425,8;0,048695;1,68E-05
