Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,7518;0,52178;0,016626;2,13E-05
10;1,7207;0,52172;0,016878;2,16E-05
15;1,6908;0,52166;0,017128;2,19E-05
20;1,6618;0,52161;0,017376;2,22E-05
25;1,6339;0,52156;0,017623;2,26E-05
30;1,6068;0,52151;0,017869;2,29E-05
35;1,5807;0,52146;0,018113;2,32E-05
40;1,5554;0,52142;0,018356;2,35E-05
45;1,5309;0,52138;0,018597;2,38E-05
50;1,5071;0,52134;0,018837;2,41E-05
55;1,4841;0,5213;0,019075;2,44E-05
60;1,4618;0,52127;0,019312;2,47E-05
65;1,4401;0,52124;0,019548;2,50E-05
70;1,4191;0,52121;0,019782;2,53E-05
75;1,3987;0,52118;0,020015;2,56E-05
80;1,3788;0,52115;0,020247;2,59E-05
85;1,3595;0,52112;0,020477;2,62E-05
90;1,3408;0,5211;0,020706;2,65E-05
95;1,3226;0,52107;0,020934;2,68E-05
100;1,3048;0,52105;0,021161;2,71E-05
105;1,2875;0,52103;0,021386;2,74E-05
110;1,2707;0,521;0,021611;2,77E-05
115;1,2543;0,52098;0,021834;2,80E-05
120;1,2383;0,52097;0,022056;2,82E-05
125;1,2228;0,52095;0,022277;2,85E-05
130;1,2076;0,52093;0,022496;2,88E-05
135;1,1928;0,52091;0,022715;2,91E-05
140;1,1783;0,5209;0,022932;2,94E-05
145;1,1642;0,52088;0,023149;2,96E-05
150;1,1504;0,52087;0,023364;2,99E-05
155;1,1370;0,52085;0,023578;3,02E-05
160;1,1239;0,52084;0,023792;3,05E-05
165;1,1110;0,52082;0,024004;3,07E-05
170;1,0985;0,52081;0,024215;3,10E-05
175;1,0862;0,5208;0,024425;3,13E-05
180;1,0742;0,52079;0,024634;3,15E-05
185;1,0625;0,52078;0,024843;3,18E-05
190;1,0510;0,52076;0,02505;3,21E-05
195;1,0398;0,52075;0,025256;3,23E-05
200;1,0288;0,52074;0,025462;3,26E-05
