Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;742,08;2.121;0,13474;0,0011657
10;738,18;2.138;0,13342;0,0010706
15;734,3;2.156;0,1321;0,00098717
20;730,41;2.174;0,13078;0,0009135
25;726,53;2.193;0,12948;0,00084812
30;722,64;2.211;0,12818;0,00078981
35;718,76;2.230;0,12689;0,00073758
40;714,87;2.249;0,12561;0,0006906
45;710,98;2.269;0,12434;0,00064817
50;707,08;2.288;0,12308;0,00060971
55;703,17;2.308;0,12182;0,00057473
60;699,26;2.328;0,12058;0,00054282
65;695,33;2.348;0,11934;0,0005136
70;691,4;2.369;0,11811;0,00048678
75;687,45;2.389;0,11689;0,00046209
80;683,49;2.409;0,11568;0,00043929
85;679,51;2.430;0,11448;0,0004182
90;675,52;2.451;0,11329;0,00039863
95;671,51;2.472;0,11211;0,00038044
100;667,47;2.493;0,11095;0,00036349
105;663,42;2.514;0,10979;0,00034765
110;659,34;2.535;0,10864;0,00033283
115;655,23;2.556;0,1075;0,00031894
120;651,1;2.577;0,10638;0,00030588
125;646,93;2.599;0,10526;0,0002936
130;642,74;2.620;0,10416;0,00028201
135;638,5;2.641;0,10307;0,00027106
140;634,24;2.663;0,10199;0,0002607
145;629,93;2.685;0,10092;0,00025089
150;625,58;2.706;0,099862;0,00024157
155;621,18;2.728;0,098818;0,00023271
160;616,74;2.750;0,097785;0,00022427
165;612,24;2.772;0,096765;0,00021622
170;607,69;2.794;0,095757;0,00020853
174,12;603,89;2.812;0,094935;0,00020245
174,12;4,1404;2.345;0,021247;7,71E-06
175;4,1300;2.349;0,021337;7,73E-06
180;4,0719;2.366;0,021849;7,82E-06
185;4,0159;2.384;0,022365;7,90E-06
190;3,9618;2.402;0,022887;7,99E-06
195;3,9096;2.420;0,023413;8,08E-06
200;3,8591;2.438;0,023944;8,16E-06
