Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1.941;0,83164;0,01506;1,40E-05
10;1.906;0,83644;0,01545;1,42E-05
15;1.872;0,84125;0,015844;1,44E-05
20;1.839;0,84606;0,016242;1,47E-05
25;1.808;0,85085;0,016643;1,49E-05
30;1.778;0,85563;0,017046;1,52E-05
35;1.748;0,8604;0,017452;1,54E-05
40;1.720;0,86513;0,017861;1,57E-05
45;1.693;0,86985;0,018272;1,59E-05
50;1.666;0,87453;0,018685;1,61E-05
55;1.640;0,87918;0,019099;1,64E-05
60;1.616;0,8838;0,019515;1,66E-05
65;1.591;0,88838;0,019932;1,68E-05
70;1.568;0,89292;0,02035;1,71E-05
75;1.545;0,89743;0,020769;1,73E-05
80;1.523;0,90189;0,02119;1,75E-05
85;1.502;0,90632;0,02161;1,78E-05
90;1.481;0,91071;0,022032;1,80E-05
95;1.460;0,91505;0,022453;1,82E-05
100;1.441;0,91936;0,022875;1,85E-05
105;1.422;0,92362;0,023298;1,87E-05
110;1.403;0,92784;0,02372;1,89E-05
115;1.385;0,93202;0,024142;1,92E-05
120;1.367;0,93616;0,024565;1,94E-05
125;1.350;0,94026;0,024987;1,96E-05
130;1.333;0,94432;0,025409;1,98E-05
135;1.316;0,94834;0,025831;2,01E-05
140;1.300;0,95232;0,026252;2,03E-05
145;1.285;0,95625;0,026674;2,05E-05
150;1.269;0,96015;0,027094;2,07E-05
155;1.254;0,96401;0,027515;2,09E-05
160;1.240;0,96783;0,027935;2,12E-05
165;1.226;0,97162;0,028354;2,14E-05
170;1.212;0,97536;0,028773;2,16E-05
175;1.198;0,97907;0,029191;2,18E-05
180;1.185;0,98275;0,029609;2,20E-05
185;1.172;0,98638;0,030026;2,23E-05
190;1.159;0,98998;0,030443;2,25E-05
195;1.147;0,99355;0,030858;2,27E-05
200;1.135;0,99708;0,031274;2,29E-05
