Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;760,6;2.151;0,14022;0,0020221
10;756,87;2.166;0,13897;0,0018147
15;753,15;2.181;0,13773;0,0016389
20;749,44;2.196;0,13651;0,0014885
25;745,73;2.212;0,1353;0,0013589
30;742,03;2.229;0,13411;0,0012462
35;738,34;2.245;0,13293;0,0011477
40;734,64;2.263;0,13176;0,001061
45;730,95;2.280;0,1306;0,00098426
50;727,26;2.298;0,12945;0,00091601
55;723,56;2.316;0,12832;0,000855
60;719,86;2.334;0,12719;0,00080022
65;716,16;2.352;0,12608;0,00075083
70;712,45;2.371;0,12497;0,00070612
75;708,74;2.390;0,12387;0,00066549
80;705,01;2.409;0,12279;0,00062843
85;701,28;2.428;0,1217;0,00059453
90;697,53;2.448;0,12063;0,00056341
95;693,77;2.467;0,11956;0,00053476
100;690;2.487;0,1185;0,00050831
105;686,21;2.507;0,11745;0,00048381
110;682,4;2.526;0,1164;0,00046106
115;678,58;2.546;0,11536;0,0004399
120;674,73;2.566;0,11432;0,00042015
125;670,86;2.587;0,11329;0,00040168
130;666,97;2.607;0,11227;0,00038436
135;663,05;2.627;0,11124;0,0003681
140;659,11;2.647;0,11023;0,0003528
145;655,14;2.668;0,10921;0,00033836
150;651,13;2.688;0,1082;0,00032472
155;647,1;2.708;0,1072;0,00031181
160;643,02;2.729;0,10619;0,00029956
165;638,92;2.750;0,1052;0,00028793
170;634,77;2.770;0,1042;0,00027686
175;630,58;2.791;0,10321;0,00026631
180;626,34;2.812;0,10222;0,00025624
185;622,06;2.832;0,10123;0,00024661
190;617,73;2.853;0,10024;0,0002374
195;613,35;2.874;0,099257;0,00022856
200;608,9;2.895;0,098275;0,00022008
