Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,33000;1.682;0,018533;8,76E-06
10;1,30590;1.700;0,019128;8,91E-06
15;1,28260;1.719;0,019734;9,06E-06
20;1,26020;1.738;0,020352;9,21E-06
25;1,23850;1.758;0,020981;9,35E-06
30;1,21760;1.777;0,021621;9,50E-06
35;1,19740;1.797;0,022272;9,65E-06
40;1,17790;1.817;0,022934;9,79E-06
45;1,15900;1.838;0,023607;9,94E-06
50;1,14070;1.858;0,024291;1,01E-05
55;1,12300;1.879;0,024985;1,02E-05
60;1,10590;1.899;0,025689;1,04E-05
65;1,08930;1.920;0,026403;1,05E-05
70;1,07310;1.941;0,027128;1,06E-05
75;1,05750;1.962;0,027862;1,08E-05
80;1,04230;1.984;0,028606;1,09E-05
85;1,02750;2.005;0,029359;1,11E-05
90;1,01320;2.026;0,030121;1,12E-05
95;0,99926;2.048;0,030892;1,13E-05
100;0,98571;2.069;0,031672;1,15E-05
105;0,97251;2.090;0,032461;1,16E-05
110;0,95968;2.112;0,033258;1,18E-05
115;0,94717;2.133;0,034063;1,19E-05
120;0,935;2.154;0,034877;1,20E-05
125;0,92313;2.176;0,035698;1,22E-05
130;0,91157;2.197;0,036526;1,23E-05
135;0,90029;2.218;0,037362;1,24E-05
140;0,8893;2.240;0,038206;1,26E-05
145;0,87857;2.261;0,039056;1,27E-05
150;0,86809;2.282;0,039913;1,28E-05
155;0,85787;2.303;0,040776;1,30E-05
160;0,84789;2.324;0,041646;1,31E-05
165;0,83813;2.345;0,042523;1,32E-05
170;0,8286;2.366;0,043405;1,33E-05
175;0,81929;2.387;0,044294;1,35E-05
180;0,81019;2.407;0,045188;1,36E-05
185;0,80128;2.428;0,046087;1,37E-05
190;0,79257;2.448;0,046992;1,39E-05
195;0,78405;2.469;0,047903;1,40E-05
200;0,77571;2.489;0,048818;1,41E-05
