Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,23790;1.473,9;0,01793;9,64E-06
10;1,21560;1.489,3;0,018507;9,81E-06
15;1,19410;1.505,0;0,019099;9,98E-06
20;1,17330;1.521,0;0,019706;1,01E-05
25;1,15330;1.537,3;0,020326;1,03E-05
30;1,13390;1.553,8;0,02096;1,05E-05
35;1,11520;1.570,5;0,021605;1,07E-05
40;1,09710;1.587,4;0,022261;1,08E-05
45;1,07960;1.604,5;0,022928;1,10E-05
50;1,06270;1.621,7;0,023604;1,12E-05
55;1,04630;1.639,0;0,024289;1,13E-05
60;1,03040;1.656,5;0,024982;1,15E-05
65;1,01490;1.674,0;0,025682;1,16E-05
70;0,99996;1.691,6;0,026389;1,18E-05
75;0,98543;1.709,3;0,027101;1,20E-05
80;0,97132;1.727,0;0,027819;1,21E-05
85;0,95762;1.744,8;0,028541;1,23E-05
90;0,94429;1.762,5;0,029268;1,25E-05
95;0,93134;1.780,3;0,029997;1,26E-05
100;0,91874;1.798,1;0,03073;1,28E-05
105;0,90648;1.815,9;0,031466;1,29E-05
110;0,89455;1.833,6;0,032204;1,31E-05
115;0,88292;1.851,3;0,032944;1,32E-05
120;0,8716;1.869,0;0,033685;1,34E-05
125;0,86057;1.886,6;0,034428;1,35E-05
130;0,84981;1.904,1;0,035172;1,37E-05
135;0,83932;1.921,7;0,035918;1,39E-05
140;0,82909;1.939,1;0,036664;1,40E-05
145;0,81911;1.956,4;0,037411;1,42E-05
150;0,80937;1.973,7;0,03816;1,43E-05
155;0,79985;1.990,9;0,038909;1,45E-05
160;0,79056;2.008,0;0,03966;1,46E-05
165;0,78149;2.025,1;0,040412;1,47E-05
170;0,77262;2.042,0;0,041165;1,49E-05
175;0,76395;2.058,8;0,04192;1,50E-05
