Temperatura;Densidade ;Calor especifico;Condutividade termica;Viscosidade
5;696,37;2.169;0,13639;0,00049426
10;692,2;2.186;0,1351;0,00046394
15;688,02;2.204;0,13382;0,00043642
20;683,82;2.222;0,13254;0,00041137
25;679,6;2.241;0,13125;0,00038849
30;675,36;2.260;0,12997;0,00036751
35;671,1;2.279;0,1287;0,00034824
40;666,82;2.299;0,12742;0,00033047
45;662,51;2.319;0,12615;0,00031405
50;658,18;2.340;0,12489;0,00029883
55;653,81;2.361;0,12363;0,0002847
60;649,41;2.383;0,12238;0,00027155
65;644,98;2.404;0,12114;0,00025928
70;640,51;2.426;0,1199;0,0002478
75;635,99;2.449;0,11867;0,00023705
80;631,43;2.472;0,11745;0,00022696
85;626,82;2.495;0,11623;0,00021747
90;622,16;2.518;0,11502;0,00020852
95;617,44;2.542;0,11381;0,00020007
98;614,22;2.558;0,113;0,00019462
98;3,4710;2.028;0,018074;7,60E-06
100;3,4526;2.034;0,018226;7,63E-06
105;3,3974;2.054;0,018698;7,72E-06
110;3,3443;2.073;0,019176;7,82E-06
115;3,2932;2.092;0,01966;7,92E-06
120;3,2439;2.112;0,020148;8,02E-06
125;3,1964;2.132;0,020642;8,11E-06
130;3,1506;2.152;0,02114;8,21E-06
135;3,1062;2.172;0,021643;8,31E-06
140;3,0633;2.192;0,022151;8,40E-06
145;3,0217;2.212;0,022663;8,50E-06
150;2,9815;2.232;0,023179;8,59E-06
155;2,9424;2.252;0,023699;8,69E-06
160;2,9045;2.271;0,024223;8,79E-06
165;2,8677;2.291;0,024751;8,88E-06
170;2,8319;2.311;0,025282;8,98E-06
175;2,7972;2.331;0,025818;9,07E-06
180;2,7633;2.351;0,026356;9,17E-06
185;2,7304;2.370;0,026898;9,26E-06
190;2,6983;2.390;0,027443;9,36E-06
195;2,6671;2.409;0,027991;9,45E-06
200;2,6366;2.428;0,028542;9,55E-06
