Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5,00;672,95;2.171;0,13299;0,0003692
10,00;668,45;2.191;0,13128;0,0003486
15,00;663,92;2.211;0,12956;0,0003297
20,00;659,36;2.231;0,12786;0,00031232
25,00;654,78;2.252;0,12616;0,00029628
30,00;650,16;2.273;0,12447;0,00028145
35,00;645,51;2.295;0,1228;0,0002677
40,00;640,83;2.317;0,12114;0,00025492
45,00;636,10;2.340;0,1195;0,00024302
50,00;631,33;2.363;0,11789;0,00023191
55,00;626,51;2.386;0,11629;0,00022152
60,00;621,63;2.410;0,11472;0,00021178
65,00;616,71;2.434;0,11317;0,00020263
68,72;613,01;2.453;0,11203;0,00019618
68,72;3,2307;1.901;0,017211;7,63E-06
70,00;3,2162;1.906;0,017335;7,65E-06
75,00;3,1612;1.925;0,017821;7,77E-06
80,00;3,1085;1.944;0,018315;7,88E-06
85,00;3,0578;1.963;0,018816;7,99E-06
90,00;3,0091;1.983;0,019323;8,10E-06
95,00;2,9621;2.003;0,019837;8,21E-06
100,00;2,9169;2.023;0,020358;8,32E-06
105,00;2,8732;2.043;0,020885;8,43E-06
110,00;2,8310;2.064;0,021418;8,54E-06
115,00;2,7902;2.084;0,021957;8,65E-06
120,00;2,7507;2.105;0,022502;8,76E-06
125,00;2,7125;2.125;0,023052;8,87E-06
130,00;2,6754;2.146;0,023608;8,98E-06
135,00;2,6395;2.166;0,024169;9,09E-06
140,00;2,6046;2.187;0,024735;9,19E-06
145,00;2,5707;2.208;0,025306;9,30E-06
150,00;2,5378;2.228;0,025881;9,41E-06
155,00;2,5058;2.249;0,026461;9,52E-06
160,00;2,4746;2.269;0,027046;9,63E-06
165,00;2,4443;2.289;0,027635;9,74E-06
170,00;2,4148;2.310;0,028228;9,84E-06
175,00;2,3861;2.330;0,028825;9,95E-06
180,00;2,3581;2.350;0,029426;1,01E-05
185,00;2,3307;2.370;0,03003;1,02E-05
190,00;2,3041;2.390;0,030638;1,03E-05
195,00;2,2781;2.410;0,03125;1,04E-05
200,00;2,2527;2.429;0,031865;1,05E-05
