Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,5076;1.011,8;0,016527;1,20E-05
10;1,4802;1.012,1;0,016862;1,22E-05
15;1,4538;1.012,6;0,017198;1,24E-05
20;1,4283;1.013,2;0,017536;1,27E-05
25;1,4038;1.014,0;0,017874;1,29E-05
30;1,3801;1.014,9;0,018214;1,31E-05
35;1,3572;1.015,9;0,018555;1,33E-05
40;1,3350;1.017,0;0,018898;1,35E-05
45;1,3136;1.018,3;0,019241;1,37E-05
50;1,2929;1.019,6;0,019586;1,40E-05
55;1,2728;1.020,9;0,019932;1,42E-05
60;1,2534;1.022,4;0,020278;1,44E-05
65;1,2346;1.024,0;0,020626;1,46E-05
70;1,2163;1.025,6;0,020974;1,48E-05
75;1,1986;1.027,2;0,021324;1,50E-05
80;1,1813;1.029,0;0,021674;1,52E-05
85;1,1646;1.030,7;0,022025;1,54E-05
90;1,1484;1.032,6;0,022377;1,56E-05
95;1,1326;1.034,5;0,022729;1,59E-05
100;1,1172;1.036,4;0,023083;1,61E-05
105;1,1023;1.038,3;0,023437;1,63E-05
110;1,0877;1.040,4;0,023791;1,65E-05
115;1,0736;1.042,4;0,024147;1,67E-05
120;1,0598;1.044,5;0,024502;1,69E-05
125;1,0463;1.046,6;0,024859;1,71E-05
130;1,0332;1.048,7;0,025216;1,73E-05
135;1,0205;1.050,9;0,025573;1,75E-05
140;1,0080;1.053,1;0,025931;1,77E-05
145;0,9958;1.055,3;0,02629;1,79E-05
150;0,9840;1.057,6;0,026649;1,81E-05
155;0,9724;1.059,8;0,027009;1,83E-05
160;0,9611;1.062,1;0,027368;1,85E-05
165;0,9500;1.064,4;0,027729;1,87E-05
170;0,9392;1.066,8;0,02809;1,89E-05
175;0,9287;1.069,1;0,028451;1,91E-05
180;0,9184;1.071,5;0,028812;1,93E-05
185;0,9083;1.073,9;0,029174;1,95E-05
190;0,8984;1.076,3;0,029537;1,97E-05
195;0,8888;1.078,7;0,0299;1,99E-05
200;0,8793;1.081,1;0,030263;2,01E-05
