Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;0,17528;5.193;0,14804;1,89E-05
10;0,17219;5.193;0,14987;1,92E-05
15;0,1692;5.193;0,15169;1,94E-05
20;0,16632;5.193;0,1535;1,96E-05
25;0,16353;5.193;0,15531;1,98E-05
30;0,16083;5.193;0,1571;2,01E-05
35;0,15823;5.193;0,15889;2,03E-05
40;0,1557;5.193;0,16067;2,05E-05
45;0,15325;5.193;0,16244;2,07E-05
50;0,15088;5.193;0,1642;2,10E-05
55;0,14859;5.193;0,16596;2,12E-05
60;0,14636;5.193;0,1677;2,14E-05
65;0,14419;5.193;0,16944;2,16E-05
70;0,14209;5.193;0,17117;2,19E-05
75;0,14005;5.193;0,1729;2,21E-05
80;0,13807;5.193;0,17461;2,23E-05
85;0,13615;5.193;0,17632;2,25E-05
90;0,13427;5.193;0,17802;2,27E-05
95;0,13245;5.193;0,17972;2,29E-05
100;0,13068;5.193;0,18141;2,32E-05
105;0,12895;5.193;0,18309;2,34E-05
110;0,12727;5.193;0,18477;2,36E-05
115;0,12563;5.193;0,18644;2,38E-05
120;0,12403;5.193;0,1881;2,40E-05
125;0,12247;5.193;0,18976;2,42E-05
130;0,12095;5.193;0,19141;2,44E-05
135;0,11947;5.193;0,19305;2,46E-05
140;0,11803;5.193;0,19469;2,48E-05
145;0,11662;5.193;0,19632;2,51E-05
150;0,11524;5.193;0,19795;2,53E-05
155;0,11389;5.193;0,19957;2,55E-05
160;0,11258;5.193;0,20119;2,57E-05
165;0,1113;5.193;0,2028;2,59E-05
170;0,11004;5.193;0,2044;2,61E-05
175;0,10881;5.193;0,206;2,63E-05
180;0,10761;5.193;0,2076;2,65E-05
185;0,10644;5.193;0,20919;2,67E-05
190;0,10529;5.193;0,21077;2,69E-05
195;0,10417;5.193;0,21235;2,71E-05
200;0,10307;5.193;0,21393;2,73E-05
