Temperatura;Densidade ;Calor especifico;Condutividade termica;Viscosidade
5;2,6345;1.609,8;0,014839;7,0012E-06
10;2,5828;1.629,8;0,015341;7,1261E-06
15;2,5333;1.650,3;0,01585;7,2505E-06
20;2,4858;1.671,1;0,016365;7,3744E-06
25;2,4403;1.692,3;0,016887;7,4978E-06
30;2,3965;1.713,8;0,017414;7,6208E-06
35;2,3545;1.735,6;0,017948;7,7434E-06
40;2,3140;1.757,5;0,018488;7,8656E-06
45;2,2749;1.779,7;0,019035;7,9873E-06
50;2,2373;1.802,0;0,019587;8,1086E-06
55;2,2010;1.824,5;0,020146;8,2296E-06
60;2,1659;1.847,1;0,020712;8,3502E-06
65;2,1320;1.869,7;0,021283;8,4704E-06
70;2,0992;1.892,5;0,021861;8,5902E-06
75;2,0674;1.915,3;0,022446;8,7097E-06
80;2,0366;1.938,1;0,023036;8,8289E-06
85;2,0068;1.960,9;0,023633;8,9477E-06
90;1,9779;1.983,8;0,024237;9,0661E-06
95;1,9499;2.006,6;0,024847;9,1843E-06
100;1,9226;2.029,4;0,025463;9,3021E-06
105;1,8962;2.052,2;0,026085;9,4196E-06
110;1,8705;2.074,9;0,026714;9,5368E-06
115;1,8455;2.097,5;0,027349;9,6536E-06
120;1,8212;2.120,1;0,027991;9,7702E-06
125;1,7975;2.142,6;0,028639;9,8865E-06
130;1,7745;2.165,0;0,029293;0,000010002
135;1,7520;2.187,2;0,029954;0,000010118
140;1,7302;2.209,4;0,030621;0,000010234
145;1,7089;2.231,5;0,031295;0,000010349
150;1,6881;2.253,4;0,031975;0,000010464
155;1,6679;2.275,2;0,032661;0,000010578
160;1,6481;2.296,9;0,033354;0,000010692
165;1,6288;2.318,4;0,034053;0,000010806
170;1,6100;2.339,8;0,034759;0,00001092
175;1,5916;2.361,1;0,035471;0,000011034
180;1,5736;2.382,2;0,036189;0,000011147
185;1,5561;2.403,2;0,036914;0,00001126
190;1,5389;2.424,0;0,037646;0,000011373
195;1,5222;2.444,6;0,038383;0,000011485
200;1,5057;2.465,2;0,039127;0,000011597
