Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade 
5;3,6810;0,24944;0,0087837;2,36E-05
10;3,6155;0,24937;0,0089278;2,40E-05
15;3,5523;0,24931;0,0090709;2,44E-05
20;3,4912;0,24926;0,0092129;2,48E-05
25;3,4323;0,2492;0,0093539;2,51E-05
30;3,3753;0,24915;0,0094938;2,55E-05
35;3,3202;0,24911;0,0096328;2,59E-05
40;3,2668;0,24907;0,0097709;2,63E-05
45;3,2152;0,24903;0,0099079;2,66E-05
50;3,1652;0,24899;0,010044;2,70E-05
55;3,1167;0,24895;0,010179;2,73E-05
60;3,0697;0,24892;0,010314;2,77E-05
65;3,0240;0,24889;0,010447;2,81E-05
70;2,9798;0,24886;0,01058;2,84E-05
75;2,9368;0,24883;0,010711;2,88E-05
80;2,8950;0,2488;0,010842;2,91E-05
85;2,8544;0,24877;0,010972;2,95E-05
90;2,8150;0,24875;0,011101;2,98E-05
95;2,7766;0,24873;0,01123;3,02E-05
100;2,7392;0,24871;0,011357;3,05E-05
105;2,7029;0,24868;0,011484;3,09E-05
110;2,6675;0,24866;0,01161;3,12E-05
115;2,6330;0,24865;0,011736;3,15E-05
120;2,5994;0,24863;0,011861;3,19E-05
125;2,5667;0,24861;0,011984;3,22E-05
130;2,5347;0,24859;0,012108;3,25E-05
135;2,5036;0,24858;0,01223;3,29E-05
140;2,4732;0,24856;0,012352;3,32E-05
145;2,4436;0,24855;0,012474;3,35E-05
150;2,4146;0,24854;0,012594;3,38E-05
155;2,3863;0,24852;0,012714;3,42E-05
160;2,3587;0,24851;0,012834;3,45E-05
165;2,3317;0,2485;0,012952;3,48E-05
170;2,3054;0,24849;0,013071;3,51E-05
175;2,2796;0,24847;0,013188;3,54E-05
180;2,2544;0,24846;0,013305;3,57E-05
185;2,2297;0,24845;0,013422;3,61E-05
190;2,2056;0,24844;0,013537;3,64E-05
195;2,1820;0,24843;0,013653;3,67E-05
200;2,1589;0,24842;0,013767;3,70E-05
