Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;0,70446;2.190,2;0,031586;1,05E-05
10;0,69193;2.199,8;0,032252;1,07E-05
15;0,67983;2.210,0;0,032926;1,09E-05
20;0,66816;2.220,6;0,033607;1,10E-05
25;0,65688;2.231,7;0,034296;1,12E-05
30;0,64598;2.243,2;0,034993;1,13E-05
35;0,63544;2.255,2;0,035698;1,15E-05
40;0,62523;2.267,5;0,036412;1,17E-05
45;0,61535;2.280,3;0,037134;1,18E-05
50;0,60578;2.293,5;0,037864;1,20E-05
55;0,59651;2.307,0;0,038603;1,21E-05
60;0,58751;2.320,9;0,03935;1,23E-05
65;0,57878;2.335,2;0,040106;1,24E-05
70;0,57031;2.349,8;0,04087;1,26E-05
75;0,56209;2.364,7;0,041643;1,27E-05
80;0,5541;2.379,9;0,042423;1,29E-05
85;0,54633;2.395,3;0,043212;1,31E-05
90;0,53878;2.411,1;0,044009;1,32E-05
95;0,53144;2.427,1;0,044815;1,33E-05
100;0,52429;2.443,3;0,045628;1,35E-05
105;0,51734;2.459,8;0,046449;1,36E-05
110;0,51057;2.476,4;0,047278;1,38E-05
115;0,50397;2.493,3;0,048115;1,39E-05
120;0,49754;2.510,4;0,048959;1,41E-05
125;0,49127;2.527,6;0,04981;1,42E-05
130;0,48516;2.545,0;0,050669;1,44E-05
135;0,47921;2.562,6;0,051536;1,45E-05
140;0,47339;2.580,2;0,052409;1,46E-05
145;0,46772;2.598,1;0,053289;1,48E-05
150;0,46218;2.616,0;0,054176;1,49E-05
155;0,45677;2.634,0;0,055069;1,51E-05
160;0,45148;2.652,2;0,055969;1,52E-05
165;0,44632;2.670,4;0,056876;1,53E-05
170;0,44127;2.688,7;0,057788;1,55E-05
175;0,43634;2.707,1;0,058707;1,56E-05
180;0,43152;2.725,6;0,059632;1,57E-05
185;0,4268;2.744,1;0,060562;1,59E-05
190;0,42218;2.762,7;0,061499;1,60E-05
195;0,41767;2.781,3;0,062441;1,61E-05
200;0,41324;2.799,9;0,063388;1,63E-05
