Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;;
5;1,2279;1,042;0,025092;1,67E-05;;
10;1,2062;1,042;0,025442;1,70E-05;;
15;1,1852;1,042;0,02579;1,72E-05;;
20;1,1649;1,0421;0,026135;1,74E-05;;
25;1,1453;1,0421;0,026478;1,76E-05;;
30;1,1264;1,0422;0,026819;1,79E-05;;
35;1,108;1,0423;0,027158;1,81E-05;;
40;1,0903;1,0425;0,027495;1,83E-05;;
45;1,0731;1,0426;0,02783;1,85E-05;;
50;1,0565;1,0428;0,028163;1,87E-05;;
55;1,0403;1,043;0,028495;1,90E-05;;
60;1,0247;1,0432;0,028824;1,92E-05;;
65;1,0095;1,0434;0,029152;1,94E-05;;
70;0,99476;1,0437;0,029479;1,96E-05;;
75;0,98045;1,044;0,029804;1,98E-05;;
80;0,96654;1,0443;0,030128;2,00E-05;;
85;0,95302;1,0446;0,03045;2,02E-05;;
90;0,93988;1,045;0,030772;2,04E-05;;
95;0,9271;1,0454;0,031092;2,06E-05;;
100;0,91465;1,0458;0,031411;2,08E-05;;
105;0,90254;1,0462;0,031728;2,10E-05;;
110;0,89075;1,0466;0,032045;2,12E-05;;
115;0,87926;1,0471;0,032361;2,14E-05;;
120;0,86806;1,0476;0,032676;2,16E-05;;
125;0,85715;1,0482;0,03299;2,18E-05;;
130;0,84651;1,0487;0,033304;2,20E-05;;
135;0,83613;1,0493;0,033616;2,22E-05;;
140;0,826;1,0499;0,033928;2,24E-05;;
145;0,81611;1,0505;0,03424;2,26E-05;;
150;0,80646;1,0512;0,03455;2,28E-05;;
155;0,79703;1,0519;0,03486;2,29E-05;;
160;0,78782;1,0526;0,03517;2,31E-05;;
165;0,77883;1,0533;0,035479;2,33E-05;;
170;0,77003;1,054;0,035788;2,35E-05;;
175;0,76144;1,0548;0,036096;2,37E-05;;
180;0,75303;1,0556;0,036404;2,39E-05;;
185;0,7448;1,0564;0,036711;2,41E-05;;
190;0,73676;1,0573;0,037018;2,42E-05;;
195;0,72889;1,0582;0,037325;2,44E-05;;
200;0,72118;1,059;0,037631;2,46E-05;;
