Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;0,88368;1030,4;0,045954;2,97E-05
10;0,86808;1030,4;0,046492;3,01E-05
15;0,85302;1030,4;0,047027;3,04E-05
20;0,83847;1030,4;0,047557;3,08E-05
25;0,82441;1030,4;0,048085;3,11E-05
30;0,81082;1030,3;0,048609;3,15E-05
35;0,79767;1030,3;0,04913;3,18E-05
40;0,78493;1030,3;0,049647;3,21E-05
45;0,7726;1030,3;0,050162;3,25E-05
50;0,76065;1030,3;0,050673;3,28E-05
55;0,74906;1030,3;0,051182;3,31E-05
60;0,73782;1030,3;0,051688;3,34E-05
65;0,72692;1030,3;0,052191;3,38E-05
70;0,71633;1030,3;0,052691;3,41E-05
75;0,70605;1030,3;0,053188;3,44E-05
80;0,69605;1030,3;0,053683;3,47E-05
85;0,68634;1030,3;0,054176;3,51E-05
90;0,67689;1030,2;0,054666;3,54E-05
95;0,6677;1030,2;0,055153;3,57E-05
100;0,65876;1030,2;0,055638;3,60E-05
105;0,65005;1030,2;0,056121;3,63E-05
110;0,64157;1030,2;0,056602;3,66E-05
115;0,63331;1030,2;0,05708;3,69E-05
120;0,62525;1030,2;0,057556;3,72E-05
125;0,6174;1030,2;0,05803;3,76E-05
130;0,60975;1030,2;0,058502;3,79E-05
135;0,60228;1030,2;0,058972;3,82E-05
140;0,595;1030,2;0,059439;3,85E-05
145;0,58788;1030,2;0,059905;3,88E-05
150;0,58094;1030,2;0,060369;3,91E-05
155;0,57416;1030,2;0,06083;3,94E-05
160;0,56753;1030,2;0,06129;3,97E-05
165;0,56106;1030,2;0,061748;4,00E-05
170;0,55473;1030,2;0,062204;4,03E-05
175;0,54854;1030,2;0,062659;4,05E-05
180;0,54249;1030,2;0,063111;4,08E-05
185;0,53657;1030,2;0,063562;4,11E-05
190;0,53078;1030,2;0,064011;4,14E-05
195;0,52511;1030,2;0,064458;4,17E-05
200;0,51957;1030,2;0,064904;4,20E-05
