Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;1,2278;1,0414;0,024377;1,69E-05;
10;1,2061;1,0414;0,02472;1,71E-05;
15;1,1851;1,0413;0,02506;1,73E-05;
20;1,1648;1,0413;0,025398;1,76E-05;
25;1,1452;1,0413;0,025735;1,78E-05;
30;1,1263;1,0414;0,026069;1,80E-05;
35;1,108;1,0414;0,026401;1,83E-05;
40;1,0903;1,0415;0,026731;1,85E-05;
45;1,0731;1,0415;0,027059;1,87E-05;
50;1,0565;1,0416;0,027385;1,89E-05;
55;1,0403;1,0417;0,027709;1,92E-05;
60;1,0247;1,0418;0,028032;1,94E-05;
65;1,0095;1,0419;0,028353;1,96E-05;
70;0,99477;1,0421;0,028672;1,98E-05;
75;0,98046;1,0422;0,02899;2,00E-05;
80;0,96656;1,0424;0,029306;2,03E-05;
85;0,95305;1,0426;0,029621;2,05E-05;
90;0,93991;1,0428;0,029934;2,07E-05;
95;0,92713;1,043;0,030246;2,09E-05;
100;0,91469;1,0433;0,030557;2,11E-05;
105;0,90258;1,0436;0,030866;2,13E-05;
110;0,89079;1,0438;0,031174;2,15E-05;
115;0,8793;1,0442;0,031482;2,17E-05;
120;0,86811;1,0445;0,031788;2,19E-05;
125;0,8572;1,0448;0,032093;2,21E-05;
130;0,84656;1,0452;0,032397;2,23E-05;
135;0,83618;1,0456;0,0327;2,25E-05;
140;0,82605;1,046;0,033002;2,27E-05;
145;0,81617;1,0464;0,033303;2,29E-05;
150;0,80651;1,0469;0,033604;2,31E-05;
155;0,79709;1,0473;0,033904;2,33E-05;
160;0,78788;1,0478;0,034203;2,35E-05;
165;0,77889;1,0484;0,034501;2,37E-05;
170;0,77009;1,0489;0,034798;2,39E-05;
175;0,7615;1,0494;0,035095;2,41E-05;
180;0,75309;1,05;0,035391;2,43E-05;
185;0,74487;1,0506;0,035687;2,45E-05;
190;0,73682;1,0512;0,035982;2,47E-05;
195;0,72895;1,0519;0,036277;2,49E-05;
200;0,72124;1,0525;0,036571;2,51E-05;
