Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;729,83;2137,6;0,13259;0,00086805;
10;725,9;2154,5;0,13107;0,00080419;
15;721,97;2171,8;0,12957;0,00074804;
20;718,03;2189,5;0,12811;0,00069832;
25;714,09;2207,6;0,12668;0,00065402;
30;710,15;2226;0,12527;0,00061431;
35;706,2;2244,7;0,12389;0,00057852;
40;702,24;2263,8;0,12254;0,00054611;
45;698,27;2283;0,12121;0,00051662;
50;694,29;2302,6;0,11991;0,00048968;
55;690,29;2322,4;0,11863;0,00046496;
60;686,29;2342,4;0,11737;0,0004422;
65;682,27;2362,6;0,11613;0,00042118;
70;678,23;2383;0,11492;0,00040169;
75;674,17;2403,6;0,11372;0,00038357;
80;670,09;2424,3;0,11255;0,00036668;
85;665,99;2445,2;0,11139;0,00035089;
90;661,86;2466,3;0,11025;0,00033609;
95;657,71;2487,5;0,10913;0,00032218;
100;653,53;2508,8;0,10803;0,00030909;
105;649,32;2530,3;0,10694;0,00029674;
110;645,08;2551,9;0,10587;0,00028505;
115;640,8;2573,6;0,10481;0,00027399;
120;636,48;2595,4;0,10377;0,00026348;
125;632,13;2617,4;0,10274;0,00025349;
130;627,73;2639,5;0,10172;0,00024398;
135;623,29;2661,8;0,10072;0,0002349;
140;618,8;2684,2;0,099725;0,00022623;
145;614,26;2706,7;0,098743;0,00021793;
150;609,66;2729,5;0,09777;0,00020998;
150,76;608,95;2732,9;0,097622;0,00020879;
150,76;3,9151;2245,5;0,021182;7,57E-06;
155;3,8669;2261,2;0,021605;7,64E-06;
160;3,8119;2279,9;0,022108;7,74E-06;
165;3,7589;2298,6;0,022617;7,83E-06;
170;3,7076;2317,4;0,02313;7,92E-06;
175;3,6581;2336,1;0,023648;8,01E-06;
180;3,6101;2354,9;0,024171;8,10E-06;
185;3,5637;2373,6;0,024699;8,19E-06;
190;3,5186;2392,3;0,02523;8,28E-06;
195;3,475;2410,9;0,025766;8,37E-06;
200;3,4325;2429,5;0,026307;8,46E-06;
