Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;714,3;2158,9;0,13081;0,00066195
10;710,3;2175,1;0,12918;0,00061753
15;706,3;2191,8;0,12758;0,00057776
20;702,29;2208,9;0,126;0,000542
25;698,27;2226,6;0,12445;0,00050972
30;694,24;2244,6;0,12292;0,00048046
35;690,2;2263,1;0,12141;0,00045384
40;686,14;2281,9;0,11992;0,00042953
45;682,06;2301,1;0,11845;0,00040726
50;677,96;2320,7;0,117;0,00038678
55;673,85;2340,6;0,11556;0,0003679
60;669,71;2360,8;0,11415;0,00035043
65;665,55;2381,2;0,11275;0,00033423
70;661,36;2402;0,11137;0,00031916
75;657,14;2423;0,11;0,00030511
80;652,89;2444,3;0,10865;0,00029197
85;648,61;2465,7;0,10731;0,00027966
90;644,29;2487,5;0,10599;0,00026808
95;639,93;2509,4;0,10468;0,00025719
100;635,53;2531,6;0,10338;0,00024691
105;631,09;2553,9;0,1021;0,00023718
110;626,6;2576,6;0,10082;0,00022797
115;622,05;2599,4;0,099562;0,00021922
120;617,46;2622,4;0,09831;0,0002109
125;612,8;2645,7;0,097068;0,00020297
125,62;612,21;2648,7;0,096914;0,00020201
125,62;3,6961;2143,2;0,020132;7,53E-06
130;3,6467;2159,9;0,020568;7,61E-06
135;3,5923;2178,9;0,021072;7,71E-06
140;3,5398;2198,1;0,021582;7,81E-06
145;3,4892;2217,4;0,022098;7,90E-06
150;3,4403;2236,7;0,022619;8,00E-06
155;3,3931;2256;0,023145;8,09E-06
160;3,3474;2275,3;0,023677;8,19E-06
165;3,3032;2294,6;0,024213;8,28E-06
170;3,2603;2313,9;0,024755;8,38E-06
175;3,2187;2333,2;0,025302;8,47E-06
180;3,1783;2352,4;0,025853;8,57E-06
185;3,1391;2371,5;0,02641;8,66E-06
190;3,101;2390,6;0,02697;8,75E-06
195;3,0639;2409,6;0,027535;8,85E-06
200;3,0278;2428,5;0,028104;8,94E-06
