Temperatura;Densidade ;Calor especifico;Condutividade termica;Viscosidade
5;1,4032;917,2;0,024892;1,93E-05
10;1,3784;917,74;0,025297;1,96E-05
15;1,3544;918,32;0,025701;1,99E-05
20;1,3312;918,95;0,026105;2,02E-05
25;1,3088;919,63;0,026508;2,05E-05
30;1,2871;920,34;0,026911;2,07E-05
35;1,2662;921,1;0,027313;2,10E-05
40;1,2459;921,91;0,027715;2,13E-05
45;1,2263;922,75;0,028117;2,16E-05
50;1,2073;923,64;0,028518;2,18E-05
55;1,1888;924,57;0,02892;2,21E-05
60;1,1709;925,53;0,029321;2,24E-05
65;1,1536;926,54;0,029722;2,26E-05
70;1,1367;927,58;0,030123;2,29E-05
75;1,1204;928,66;0,030524;2,31E-05
80;1,1045;929,77;0,030925;2,34E-05
85;1,089;930,92;0,031326;2,37E-05
90;1,074;932,1;0,031728;2,39E-05
95;1,0594;933,31;0,032129;2,42E-05
100;1,0452;934,55;0,032531;2,44E-05
105;1,0313;935,81;0,032932;2,47E-05
110;1,0179;937,11;0,033334;2,49E-05
115;1,0047;938,43;0,033736;2,52E-05
120;0,99193;939,78;0,034138;2,54E-05
125;0,97946;941,15;0,03454;2,57E-05
130;0,96729;942,54;0,034942;2,59E-05
135;0,95543;943,95;0,035345;2,61E-05
140;0,94385;945,39;0,035748;2,64E-05
145;0,93255;946,84;0,03615;2,66E-05
150;0,92152;948,3;0,036553;2,69E-05
155;0,91075;949,79;0,036956;2,71E-05
160;0,90023;951,28;0,037359;2,73E-05
165;0,88994;952,79;0,037763;2,76E-05
170;0,87989;954,32;0,038166;2,78E-05
175;0,87007;955,85;0,038569;2,81E-05
180;0,86046;957,39;0,038973;2,83E-05
185;0,85106;958,95;0,039376;2,85E-05
190;0,84187;960,51;0,039779;2,87E-05
195;0,83287;962,07;0,040183;2,90E-05
200;0,82406;963,65;0,040586;2,92E-05
