Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;0,088269;15015;0,18423;8,50E-06
10;0,086711;14969;0,18605;8,61E-06
15;0,085207;14927;0,18789;8,71E-06
20;0,083754;14888;0,18973;8,81E-06
25;0,08235;14852;0,19158;8,92E-06
30;0,080992;14819;0,19346;9,02E-06
35;0,079679;14788;0,19536;9,12E-06
40;0,078407;14761;0,19729;9,22E-06
45;0,077175;14736;0,19925;9,32E-06
50;0,075982;14713;0,2012;9,42E-06
55;0,074825;14692;0,20316;9,52E-06
60;0,073702;14674;0,20518;9,62E-06
65;0,072613;14658;0,20724;9,72E-06
70;0,071555;14643;0,20933;9,81E-06
75;0,070528;14631;0,21144;9,91E-06
80;0,06953;14619;0,21353;1,00E-05
85;0,06856;14610;0,21559;1,01E-05
90;0,067616;14602;0,21763;1,02E-05
95;0,066698;14595;0,21965;1,03E-05
100;0,065805;14589;0,22173;1,04E-05
105;0,064935;14584;0,22386;1,05E-05
110;0,064088;14580;0,22598;1,06E-05
115;0,063263;14578;0,22811;1,07E-05
120;0,062459;14576;0,23021;1,08E-05
125;0,061675;14574;0,23229;1,09E-05
