Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,9715;1606;0,016167;7,61E-06
10;1,9345;1626,2;0,016692;7,74E-06
15;1,899;1646,8;0,017224;7,88E-06
20;1,8648;1667,6;0,017763;8,01E-06
25;1,8319;1688,6;0,01831;8,15E-06
30;1,8002;1709,9;0,018863;8,28E-06
35;1,7696;1731,4;0,019423;8,41E-06
40;1,7401;1753,1;0,019991;8,55E-06
45;1,7116;1774,9;0,020566;8,68E-06
50;1,684;1796,9;0,021148;8,82E-06
55;1,6573;1819;0,021737;8,95E-06
60;1,6316;1841,1;0,022333;9,08E-06
65;1,6066;1863,4;0,022936;9,21E-06
70;1,5824;1885,7;0,023547;9,34E-06
75;1,5589;1908,1;0,024165;9,48E-06
80;1,5362;1930,4;0,02479;9,61E-06
85;1,5141;1952,8;0,025422;9,74E-06
90;1,4927;1975,2;0,026061;9,87E-06
95;1,4718;1997,6;0,026708;1,00E-05
100;1,4516;2020;0,027362;1,01E-05
105;1,4319;2042,3;0,028023;1,03E-05
110;1,4128;2064,6;0,028691;1,04E-05
115;1,3942;2086,8;0,029366;1,05E-05
120;1,3761;2109;0,030049;1,06E-05
125;1,3584;2131,1;0,030739;1,08E-05
130;1,3412;2153,1;0,031436;1,09E-05
135;1,3245;2175;0,03214;1,10E-05
140;1,3081;2196,9;0,032851;1,12E-05
145;1,2922;2218,6;0,03357;1,13E-05
150;1,2767;2240,2;0,034296;1,14E-05
155;1,2615;2261,8;0,035029;1,15E-05
160;1,2467;2283,2;0,03577;1,17E-05
165;1,2322;2304,5;0,036517;1,18E-05
170;1,2181;2325,6;0,037272;1,19E-05
175;1,2043;2346,7;0,038034;1,20E-05
180;1,1908;2367,6;0,038804;1,22E-05
185;1,1777;2388,4;0,03958;1,23E-05
190;1,1648;2409,1;0,040364;1,24E-05
195;1,1522;2429,6;0,041155;1,25E-05
200;1,1398;2450;0,041954;1,26E-05
