Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1,877;1480,9;0,015146;7,96E-06
10;1,842;1497,9;0,015627;8,11E-06
15;1,8083;1515,2;0,016115;8,26E-06
20;1,7759;1532,6;0,016612;8,41E-06
25;1,7447;1550,2;0,017116;8,56E-06
30;1,7147;1567,9;0,017627;8,71E-06
35;1,6857;1585,7;0,018146;8,86E-06
40;1,6577;1603,6;0,018673;9,00E-06
45;1,6306;1621,6;0,019206;9,15E-06
50;1,6045;1639,7;0,019747;9,29E-06
55;1,5792;1657,9;0,020295;9,44E-06
60;1,5547;1676;0,020849;9,59E-06
65;1,531;1694,3;0,021411;9,73E-06
70;1,508;1712,5;0,021979;9,87E-06
75;1,4858;1730,8;0,022553;1,00E-05
80;1,4641;1749,1;0,023134;1,02E-05
85;1,4432;1767,3;0,023721;1,03E-05
90;1,4228;1785,6;0,024315;1,04E-05
95;1,403;1803,8;0,024914;1,06E-05
100;1,3838;1822;0,025519;1,07E-05
105;1,3651;1840,2;0,026131;1,09E-05
110;1,3469;1858,4;0,026747;1,10E-05
115;1,3292;1876,5;0,02737;1,11E-05
120;1,312;1894,6;0,027998;1,13E-05
125;1,2952;1912,6;0,028631;1,14E-05
130;1,2789;1930,5;0,02927;1,16E-05
135;1,2629;1948,4;0,029914;1,17E-05
140;1,2474;1966,2;0,030563;1,18E-05
145;1,2323;1984;0,031217;1,20E-05
150;1,2175;2001,7;0,031876;1,21E-05
155;1,2031;2019,3;0,03254;1,22E-05
160;1,189;2036,9;0,033208;1,24E-05
165;1,1752;2054,3;0,033881;1,25E-05
170;1,1618;2071,7;0,034558;1,26E-05
175;1,1487;2089;0,03524;1,28E-05
180;1,1358;2106,2;0,035926;1,29E-05
185;1,1233;2123,3;0,036616;1,30E-05
190;1,111;2140,3;0,037311;1,32E-05
195;1,099;2157,3;0,038009;1,33E-05
200;1,0873;2174,1;0,038712;1,34E-05
