Temperatura;Densidade ;Calor especifico;Condutividade termica;Viscosidade
5;1522,9;862,91;0,092631;0,00049415
10;1511,4;867,07;0,091156;0,00046721
15;1499,8;871,43;0,089693;0,00044242
20;1488,1;876,01;0,088242;0,00041951
23,708;1479,3;879,54;0,087173;0,00040362
23,708;5,8528;607,96;0,008402;1,01E-05
25;5,8236;607,75;0,0084544;1,02E-05
30;5,7139;607,38;0,0086578;1,03E-05
35;5,6093;607,6;0,0088621;1,05E-05
40;5,5092;608,29;0,0090672;1,07E-05
45;5,4132;609,37;0,0092731;1,09E-05
50;5,3211;610,75;0,0094797;1,11E-05
55;5,2325;612,38;0,0096869;1,13E-05
60;5,1472;614,22;0,0098946;1,15E-05
65;5,065;616,21;0,010103;1,17E-05
70;4,9857;618,32;0,010311;1,18E-05
75;4,909;620,54;0,01052;1,20E-05
80;4,8348;622,82;0,010729;1,22E-05
85;4,7631;625,16;0,010939;1,24E-05
90;4,6936;627,54;0,011148;1,26E-05
95;4,6262;629,95;0,011358;1,27E-05
100;4,5609;632,37;0,011568;1,29E-05
105;4,4975;634,79;0,011778;1,31E-05
110;4,4359;637,21;0,011988;1,33E-05
115;4,376;639,62;0,012198;1,35E-05
120;4,3179;642,01;0,012407;1,36E-05
125;4,2613;644,39;0,012617;1,38E-05
130;4,2063;646,74;0,012826;1,40E-05
135;4,1527;649,07;0,013036;1,42E-05
140;4,1005;651,36;0,013245;1,43E-05
145;4,0496;653,63;0,013454;1,45E-05
150;4,0001;655,87;0,013662;1,47E-05
155;3,9517;658,07;0,01387;1,49E-05
160;3,9046;660,24;0,014078;1,50E-05
165;3,8586;662,38;0,014286;1,52E-05
170;3,8137;664,48;0,014493;1,54E-05
175;3,7699;666,54;0,0147;1,56E-05
180;3,7271;668,57;0,014907;1,57E-05
185;3,6852;670,57;0,015113;1,59E-05
190;3,6444;672,53;0,015318;1,61E-05
195;3,6044;674,45;0,015523;1,62E-05
200;3,5653;676,34;0,015728;1,64E-05
