Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;6,9362;693,23;0,011013;1,17E-05;
10;6,804;700,1;0,011328;1,19E-05;
15;6,6772;706,92;0,011645;1,21E-05;
20;6,5553;713,68;0,011964;1,23E-05;
25;6,4381;720,36;0,012283;1,25E-05;
30;6,3253;726,96;0,012604;1,27E-05;
35;6,2166;733,48;0,012925;1,29E-05;
40;6,1118;739,9;0,013248;1,31E-05;
45;6,0106;746,24;0,013571;1,33E-05;
50;5,9129;752,47;0,013894;1,35E-05;
55;5,8185;758,61;0,014218;1,37E-05;
60;5,7271;764,65;0,014543;1,39E-05;
65;5,6387;770,59;0,014868;1,41E-05;
70;5,5532;776,43;0,015193;1,43E-05;
75;5,4702;782,16;0,015518;1,45E-05;
80;5,3898;787,8;0,015844;1,46E-05;
85;5,3118;793,33;0,016169;1,48E-05;
90;5,2361;798,76;0,016495;1,50E-05;
95;5,1626;804,09;0,01682;1,52E-05;
100;5,0912;809,32;0,017145;1,54E-05;
105;5,0219;814,44;0,01747;1,56E-05;
110;4,9544;819,47;0,017795;1,57E-05;
115;4,8888;824,4;0,018119;1,59E-05;
120;4,8249;829,23;0,018443;1,61E-05;
125;4,7627;833,97;0,018766;1,63E-05;
130;4,7021;838,61;0,019089;1,64E-05;
135;4,6431;843,15;0,019412;1,66E-05;
140;4,5856;847,6;0,019733;1,68E-05;
145;4,5296;851,96;0,020055;1,70E-05;
150;4,4749;856,23;0,020375;1,71E-05;
155;4,4215;860,4;0,020695;1,73E-05;
160;4,3694;864,49;0,021014;1,75E-05;
165;4,3186;868,49;0,021333;1,76E-05;
170;4,269;872,4;0,021651;1,78E-05;
175;4,2205;876,23;0,021968;1,80E-05;
180;4,1731;879,97;0,022284;1,81E-05;
185;4,1268;883,64;0,022599;1,83E-05;
190;4,0815;887,22;0,022913;1,85E-05;
195;4,0372;890,72;0,023227;1,86E-05;
200;3,9939;894,14;0,023539;1,88E-05;
