Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;4,5929;822,42;0,011792;1,10E-05
10;4,5037;829,33;0,012192;1,12E-05
15;4,4183;836,47;0,012591;1,14E-05
20;4,3364;843,79;0,012991;1,16E-05
25;4,2578;851,24;0,01339;1,18E-05
30;4,1823;858,8;0,01379;1,20E-05
35;4,1097;866,45;0,01419;1,22E-05
40;4,0397;874,15;0,01459;1,24E-05
45;3,9723;881,91;0,014989;1,26E-05
50;3,9073;889,7;0,015389;1,28E-05
55;3,8445;897,52;0,015789;1,30E-05
60;3,7838;905,35;0,016189;1,32E-05
65;3,7251;913,2;0,016589;1,34E-05
70;3,6683;921,06;0,016989;1,36E-05
75;3,6133;928,92;0,017389;1,38E-05
80;3,5601;936,78;0,017789;1,39E-05
85;3,5084;944,64;0,018189;1,41E-05
90;3,4583;952,49;0,018589;1,43E-05
95;3,4097;960,33;0,018989;1,45E-05
100;3,3624;968,15;0,019389;1,47E-05
105;3,3165;975,96;0,01979;1,49E-05
110;3,2719;983,76;0,02019;1,51E-05
115;3,2286;991,54;0,02059;1,53E-05
120;3,1863;999,3;0,02099;1,55E-05
125;3,1453;1007;0,02139;1,56E-05
130;3,1053;1014,8;0,02179;1,58E-05
135;3,0663;1022,5;0,02219;1,60E-05
140;3,0283;1030,2;0,022591;1,62E-05
145;2,9913;1037,8;0,022991;1,64E-05
150;2,9552;1045,5;0,023391;1,66E-05
155;2,9199;1053,1;0,023791;1,68E-05
160;2,8856;1060,7;0,024191;1,70E-05
165;2,852;1068,2;0,024592;1,71E-05
170;2,8192;1075,8;0,024992;1,73E-05
175;2,7872;1083,3;0,025392;1,75E-05
180;2,756;1090,8;0,025792;1,77E-05
