Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;3,8743;666,43;0,014401;1,62E-05
10;3,8048;674,1;0,014798;1,65E-05
15;3,7378;681,7;0,015197;1,67E-05
20;3,6731;689,22;0,015598;1,70E-05
25;3,6106;696,66;0,016001;1,72E-05
30;3,5503;704,01;0,016405;1,75E-05
35;3,4919;711,26;0,016811;1,77E-05
40;3,4355;718,42;0,017217;1,80E-05
45;3,3808;725,47;0,017624;1,82E-05
50;3,3279;732,43;0,018032;1,85E-05
55;3,2767;739,27;0,018441;1,87E-05
60;3,227;746,01;0,01885;1,90E-05
65;3,1788;752,63;0,019259;1,92E-05
70;3,132;759,14;0,019668;1,94E-05
75;3,0866;765,54;0,020077;1,97E-05
80;3,0426;771,82;0,020485;1,99E-05
85;2,9997;777,97;0,020894;2,01E-05
90;2,9581;784,01;0,021302;2,04E-05
95;2,9176;789,93;0,021709;2,06E-05
100;2,8782;795,73;0,022115;2,08E-05
105;2,8399;801,41;0,022521;2,11E-05
110;2,8025;806,98;0,022925;2,13E-05
115;2,7662;812,42;0,023329;2,15E-05
120;2,7308;817,74;0,023731;2,17E-05
125;2,6963;822,95;0,024133;2,19E-05
130;2,6626;828,05;0,024533;2,22E-05
135;2,6298;833,03;0,024932;2,24E-05
140;2,5978;837,9;0,025329;2,26E-05
145;2,5666;842,66;0,025725;2,28E-05
150;2,5361;847,32;0,02612;2,30E-05
155;2,5063;851,87;0,026514;2,33E-05
160;2,4772;856,33;0,026906;2,35E-05
165;2,4488;860,69;0,027297;2,37E-05
170;2,4211;864,96;0,027687;2,39E-05
175;2,3939;869,14;0,028075;2,41E-05
180;2,3674;873,24;0,028463;2,43E-05
185;2,3414;877,26;0,028849;2,45E-05
190;2,3161;881,21;0,029235;2,47E-05
195;2,2912;885,1;0,02962;2,49E-05
200;2,2669;888,92;0,030004;2,51E-05
