Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1271,9;1129,9;0,096324;0,00051897
10;1262,5;1135,3;0,094898;0,00048779
15;1253,1;1141,2;0,093478;0,00045919
20;1243,5;1147,3;0,092064;0,00043288
25;1233,8;1153,8;0,090658;0,0004086
30;1224,1;1160,7;0,089261;0,00038613
32,045;1220;1163,6;0,088692;0,00037742
32,045;4,8594;810,75;0,010366;9,41E-06
35;4,805;811,73;0,010579;9,50E-06
40;4,7163;814,08;0,010944;9,67E-06
45;4,6316;817,13;0,011317;9,84E-06
50;4,5506;820,74;0,011698;1,00E-05
55;4,473;824,78;0,012085;1,02E-05
60;4,3984;829,17;0,01248;1,03E-05
65;4,3267;833,84;0,012882;1,05E-05
70;4,2576;838,73;0,013291;1,07E-05
75;4,191;843,79;0,013707;1,08E-05
80;4,1267;848,98;0,014131;1,10E-05
85;4,0645;854,28;0,014561;1,11E-05
90;4,0044;859,65;0,014998;1,13E-05
95;3,9462;865,08;0,015442;1,15E-05
100;3,8899;870,54;0,015893;1,16E-05
105;3,8352;876,03;0,01635;1,18E-05
110;3,7822;881,53;0,016814;1,20E-05
115;3,7308;887,02;0,017285;1,21E-05
120;3,6808;892,51;0,017763;1,23E-05
125;3,6322;897,98;0,018247;1,24E-05
130;3,585;903,42;0,018738;1,26E-05
135;3,539;908,83;0,019235;1,27E-05
140;3,4943;914,21;0,019738;1,29E-05
145;3,4507;919,55;0,020248;1,31E-05
150;3,4083;924,85;0,020764;1,32E-05
155;3,3669;930,1;0,021287;1,34E-05
160;3,3266;935,31;0,021815;1,35E-05
165;3,2873;940,46;0,02235;1,37E-05
170;3,2489;945,57;0,02289;1,38E-05
175;3,2115;950,62;0,023437;1,40E-05
180;3,1749;955,62;0,02399;1,41E-05
185;3,1392;960,56;0,024548;1,43E-05
190;3,1043;965,45;0,025112;1,45E-05
195;3,0702;970,28;0,025682;1,46E-05
200;3,0368;975,06;0,026258;1,48E-05
