Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;3,7645;912,08;0,013084;1,03E-05;
10;3,6928;920,42;0,013521;1,05E-05;
15;3,624;928,94;0,013966;1,07E-05;
20;3,558;937,61;0,014417;1,09E-05;
25;3,4945;946,4;0,014875;1,11E-05;
30;3,4334;955,28;0,015339;1,13E-05;
35;3,3746;964,23;0,01581;1,15E-05;
40;3,3179;973,24;0,016288;1,16E-05;
45;3,2632;982,28;0,016772;1,18E-05;
50;3,2103;991,34;0,017263;1,20E-05;
55;3,1592;1000,4;0,017759;1,22E-05;
60;3,1099;1009,5;0,018262;1,24E-05;
65;3,0621;1018,5;0,018771;1,26E-05;
70;3,0158;1027,5;0,019287;1,28E-05;
75;2,9709;1036,5;0,019808;1,29E-05;
80;2,9274;1045,5;0,020334;1,31E-05;
85;2,8853;1054,4;0,020867;1,33E-05;
90;2,8443;1063,3;0,021405;1,35E-05;
95;2,8046;1072,1;0,021949;1,36E-05;
100;2,7659;1080,9;0,022498;1,38E-05;
105;2,7284;1089,6;0,023053;1,40E-05;
110;2,6919;1098,2;0,023613;1,42E-05;
115;2,6563;1106,8;0,024178;1,43E-05;
120;2,6218;1115,3;0,024749;1,45E-05;
125;2,5881;1123,7;0,025324;1,47E-05;
130;2,5553;1132,1;0,025905;1,49E-05;
135;2,5233;1140,4;0,02649;1,50E-05;
140;2,4922;1148,6;0,027081;1,52E-05;
145;2,4618;1156,8;0,027676;1,54E-05;
150;2,4322;1164,8;0,028276;1,55E-05;
155;2,4033;1172,8;0,02888;1,57E-05;
160;2,3751;1180,8;0,029489;1,59E-05;
165;2,3475;1188,6;0,030103;1,60E-05;
170;2,3206;1196,4;0,030721;1,62E-05;
175;2,2943;1204,1;0,031344;1,64E-05;
180;2,2686;1211,7;0,03197;1,65E-05;
185;2,2435;1219,2;0,032601;1,67E-05;
190;2,219;1226,7;0,033237;1,68E-05;
195;2,1949;1234,1;0,033876;1,70E-05;
200;2,1714;1241,4;0,03452;1,72E-05;
