Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;1486,2;1217,8;0,087132;0,00051185
6,1971;1482,6;1219,8;0,086664;0,0005025
6,1971;6,9511;851,09;0,01311;1,01E-05
10;6,84;855,03;0,013376;1,03E-05
15;6,7005;860,43;0,013729;1,05E-05
20;6,5676;866,04;0,014085;1,07E-05
25;6,441;871,83;0,014444;1,09E-05
30;6,32;877,77;0,014805;1,11E-05
35;6,2043;883,84;0,015169;1,13E-05
40;6,0933;890,01;0,015535;1,15E-05
45;5,9869;896,27;0,015903;1,17E-05
50;5,8846;902,61;0,016273;1,19E-05
55;5,7862;909,01;0,016645;1,21E-05
60;5,6914;915,45;0,017018;1,23E-05
65;5,6;921,93;0,017394;1,24E-05
70;5,5119;928,45;0,01777;1,26E-05
75;5,4267;934,98;0,018149;1,28E-05
80;5,3444;941,53;0,018528;1,30E-05
85;5,2647;948,08;0,018909;1,32E-05
90;5,1876;954,64;0,019291;1,34E-05
95;5,1129;961,2;0,019674;1,36E-05
100;5,0405;967,75;0,020058;1,38E-05
105;4,9702;974,29;0,020443;1,39E-05
110;4,902;980,82;0,020829;1,41E-05
115;4,8357;987,33;0,021215;1,43E-05
120;4,7714;993,82;0,021601;1,45E-05
125;4,7088;1000,3;0,021989;1,47E-05
130;4,6479;1006,7;0,022376;1,49E-05
135;4,5886;1013,1;0,022764;1,50E-05
140;4,5309;1019,5;0,023153;1,52E-05
145;4,4747;1025,9;0,023541;1,54E-05
150;4,42;1032,2;0,02393;1,56E-05
155;4,3666;1038,5;0,024318;1,58E-05
160;4,3145;1044,8;0,024706;1,59E-05
165;4,2638;1051;0,025095;1,61E-05
170;4,2142;1057,2;0,025483;1,63E-05
175;4,1658;1063,3;0,025871;1,65E-05
180;4,1185;1069,4;0,026258;1,66E-05
185;4,0724;1075,5;0,026645;1,68E-05
190;4,0273;1081,5;0,027032;1,70E-05
195;3,9832;1087,5;0,027418;1,71E-05
200;3,94;1093,4;0,027804;1,73E-05
