Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;6,9493;816,47;0,011155;1,02E-05
10;6,8067;821,84;0,011513;1,04E-05
15;6,6711;827,54;0,011879;1,06E-05
20;6,5418;833,53;0,012252;1,08E-05
25;6,4182;839,77;0,012632;1,10E-05
30;6,3;846,22;0,013018;1,12E-05
35;6,1867;852,88;0,013412;1,14E-05
40;6,0779;859,7;0,013812;1,15E-05
45;5,9733;866,68;0,014219;1,17E-05
50;5,8727;873,8;0,014633;1,19E-05
55;5,7758;881,03;0,015054;1,21E-05
60;5,6823;888,38;0,015482;1,23E-05
65;5,5921;895,83;0,015916;1,25E-05
70;5,5049;903,36;0,016358;1,27E-05
75;5,4207;910,98;0,016806;1,29E-05
80;5,3391;918,67;0,017261;1,31E-05
85;5,2602;926,43;0,017724;1,33E-05
90;5,1837;934,25;0,018193;1,34E-05
95;5,1095;942,13;0,018669;1,36E-05
100;5,0376;950,06;0,019152;1,38E-05
105;4,9677;958,03;0,019642;1,40E-05
110;4,8999;966,06;0,02014;1,42E-05
115;4,8339;974,12;0,020644;1,44E-05
120;4,7698;982,23;0,021155;1,45E-05
125;4,7075;990,37;0,021674;1,47E-05
130;4,6468;998,54;0,022199;1,49E-05
135;4,5877;1006,7;0,022732;1,51E-05
140;4,5302;1015;0,023272;1,53E-05
145;4,4741;1023,2;0,023818;1,54E-05
150;4,4194;1031,5;0,024373;1,56E-05
155;4,3661;1039,9;0,024934;1,58E-05
160;4,3141;1048,2;0,025503;1,60E-05
165;4,2634;1056,6;0,026078;1,61E-05
170;4,2139;1065;0,026662;1,63E-05
175;4,1655;1073,4;0,027252;1,65E-05
180;4,1183;1081,8;0,02785;1,67E-05
185;4,0721;1090,2;0,028455;1,68E-05
190;4,027;1098,7;0,029068;1,70E-05
195;3,9829;1107,2;0,029688;1,72E-05
200;3,9398;1115,7;0,030315;1,73E-05
