Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;1435,3;1288,6;0,10209;0,00072847;
10;1423,3;1299,2;0,1006;0,0006719;
15;1411,2;1310;0,099127;0,00062186;
20;1398,8;1320,9;0,097674;0,00057727;
25;1386,3;1332,1;0,096237;0,00053727;
25,131;1386;1332,4;0,096199;0,00053627;
25,131;5,7368;934,44;0,013305;1,01E-05;
30;5,6267;939,31;0,01374;1,03E-05;
35;5,5191;945,54;0,014194;1,05E-05;
40;5,4167;952,6;0,014655;1,07E-05;
45;5,3189;960,22;0,015123;1,09E-05;
50;5,2252;968,21;0,015598;1,10E-05;
55;5,1353;976,45;0,016079;1,12E-05;
60;5,0491;984,86;0,016566;1,14E-05;
65;4,9661;993,37;0,01706;1,16E-05;
70;4,8861;1001,9;0,01756;1,18E-05;
75;4,8091;1010,5;0,018067;1,19E-05;
80;4,7347;1019,1;0,018579;1,21E-05;
85;4,6628;1027,6;0,019096;1,23E-05;
90;4,5934;1036,1;0,01962;1,25E-05;
95;4,5261;1044,6;0,020149;1,27E-05;
100;4,461;1053;0,020683;1,28E-05;
105;4,398;1061,3;0,021222;1,30E-05;
110;4,3368;1069,5;0,021767;1,32E-05;
115;4,2774;1077,6;0,022316;1,34E-05;
120;4,2198;1085,7;0,02287;1,35E-05;
125;4,1638;1093,6;0,023429;1,37E-05;
130;4,1094;1101,5;0,023993;1,39E-05;
135;4,0564;1109,2;0,02456;1,41E-05;
140;4,0049;1116,9;0,025132;1,42E-05;
145;3,9548;1124,4;0,025708;1,44E-05;
150;3,906;1131,8;0,026288;1,46E-05;
155;3,8584;1139,1;0,026872;1,47E-05;
160;3,8121;1146,3;0,027459;1,49E-05;
165;3,7669;1153,3;0,02805;1,51E-05;
170;3,7228;1160,3;0,028644;1,53E-05;
175;3,6797;1167,1;0,029242;1,54E-05;
180;3,6377;1173,7;0,029842;1,56E-05;
185;3,5967;1180,3;0,030445;1,58E-05;
190;3,5566;1186,7;0,031051;1,59E-05;
195;3,5175;1193,1;0,03166;1,61E-05;
200;3,4792;1199,2;0,032271;1,62E-05;
