Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;9,1107;761,45;0,010899;1,07E-05
10;8,9287;768,97;0,011217;1,09E-05
15;8,7548;776,46;0,011537;1,11E-05
20;8,5883;783,93;0,01186;1,13E-05
25;8,4288;791,36;0,012185;1,15E-05
30;8,2756;798,74;0,012513;1,17E-05
35;8,1285;806,08;0,012842;1,19E-05
40;7,987;813,37;0,013174;1,21E-05
45;7,8507;820,6;0,013507;1,23E-05
50;7,7194;827,78;0,013843;1,25E-05
55;7,5928;834,9;0,01418;1,27E-05
60;7,4705;841,96;0,014518;1,29E-05
65;7,3524;848,95;0,014858;1,31E-05
70;7,2383;855,88;0,015198;1,33E-05
75;7,1278;862,74;0,015541;1,35E-05
80;7,0209;869,53;0,015884;1,37E-05
85;6,9173;876,25;0,016228;1,39E-05
90;6,8169;882,91;0,016573;1,41E-05
95;6,7195;889,5;0,016919;1,43E-05
100;6,625;896,01;0,017265;1,45E-05
105;6,5332;902,45;0,017612;1,46E-05
110;6,4441;908,83;0,01796;1,48E-05
115;6,3575;915,13;0,018308;1,50E-05
120;6,2732;921,36;0,018657;1,52E-05
125;6,1913;927,51;0,019005;1,54E-05
130;6,1115;933,6;0,019354;1,56E-05
135;6,0339;939,61;0,019703;1,58E-05
140;5,9583;945,55;0,020053;1,60E-05
145;5,8846;951,42;0,020402;1,61E-05
150;5,8127;957,22;0,020751;1,63E-05
155;5,7427;962,94;0,0211;1,65E-05
160;5,6744;968,6;0,021449;1,67E-05
165;5,6077;974,18;0,021798;1,69E-05
170;5,5426;979,69;0,022146;1,70E-05
175;5,4791;985,13;0,022494;1,72E-05
180;5,417;990,5;0,022841;1,74E-05
185;5,3564;995,81;0,023189;1,76E-05
190;5,2971;1001;0,023535;1,78E-05
195;5,2392;1006,2;0,023881;1,79E-05
200;5,1825;1011,3;0,024227;1,81E-05
