Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;5,7899;160,53;0,0051932;2,16E-05
10;5,6858;160,4;0,0052791;2,19E-05
15;5,5854;160,29;0,0053648;2,23E-05
20;5,4885;160,19;0,0054502;2,26E-05
25;5,395;160,09;0,0055354;2,30E-05
30;5,3047;160;0,0056204;2,33E-05
35;5,2173;159,92;0,0057051;2,37E-05
40;5,1329;159,84;0,0057896;2,40E-05
45;5,0511;159,77;0,0058739;2,44E-05
50;4,972;159,7;0,0059579;2,47E-05
55;4,8953;159,64;0,0060417;2,51E-05
60;4,821;159,58;0,0061253;2,54E-05
65;4,7489;159,53;0,0062087;2,58E-05
70;4,6789;159,48;0,0062918;2,61E-05
75;4,611;159,43;0,0063748;2,65E-05
80;4,5451;159,38;0,0064575;2,68E-05
85;4,4811;159,34;0,00654;2,72E-05
90;4,4188;159,3;0,0066223;2,75E-05
95;4,3582;159,27;0,0067043;2,79E-05
100;4,2993;159,23;0,0067862;2,82E-05
105;4,242;159,2;0,0068678;2,86E-05
110;4,1862;159,17;0,0069493;2,89E-05
115;4,1319;159,14;0,0070305;2,93E-05
120;4,0789;159,11;0,0071114;2,96E-05
125;4,0274;159,08;0,0071922;2,99E-05
130;3,9771;159,06;0,0072727;3,03E-05
135;3,928;159,03;0,007353;3,06E-05
140;3,8802;159,01;0,0074331;3,10E-05
145;3,8335;158,99;0,0075129;3,13E-05
150;3,7879;158,97;0,0075926;3,16E-05
155;3,7434;158,95;0,0076719;3,20E-05
160;3,7;158,93;0,0077511;3,23E-05
165;3,6575;158,91;0,00783;3,26E-05
170;3,616;158,89;0,0079087;3,30E-05
175;3,5755;158,88;0,0079871;3,33E-05
180;3,5358;158,86;0,0080654;3,36E-05
185;3,497;158,85;0,0081433;3,40E-05
190;3,4591;158,83;0,0082211;3,43E-05
195;3,422;158,82;0,0082986;3,46E-05
200;3,3857;158,81;0,0083759;3,49E-05
