Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade
5;999,97;4205;0,57057;0,0015181
10;999,7;4195,2;0,58005;0,0013059
15;999,1;4188,5;0,58938;0,0011375
20;998,21;4184,1;0,59846;0,0010016
25;997,05;4181,3;0,60719;0,00089008
30;995,65;4179,8;0,6155;0,00079735
35;994,03;4179,3;0,62333;0,00071932
40;992,22;4179,4;0,63063;0,00065298
45;990,21;4180,1;0,63739;0,00059607
50;988,04;4181,3;0,64359;0,00054685
55;985,69;4183;0,64926;0,00050398
60;983,2;4185;0,65439;0,0004664
65;980,55;4187,3;0,659;0,00043326
70;977,76;4190,1;0,66313;0,00040389
75;974,84;4193,2;0,66679;0,00037774
80;971,79;4196,8;0,67002;0,00035435
85;968,61;4200,7;0,67283;0,00033334
90;965,31;4205,2;0,67527;0,00031441
95;961,89;4210,2;0,67735;0,00029728
99,9740;958,37;4215,6;0,67908;0,00028182
99,9740;0,59766;2079,9;0,025093;1,23E-05
100,000;0,59761;2079,8;0,025095;1,23E-05
105;0,58909;2059,4;0,025433;1,25E-05
110;0,58085;2043,7;0,025781;1,26E-05
115;0,57288;2031,2;0,026139;1,28E-05
120;0,56515;2020,8;0,026505;1,30E-05
125;0,55766;2012,1;0,02688;1,32E-05
130;0,55039;2004,8;0,027262;1,34E-05
135;0,54332;1998,7;0,027652;1,36E-05
140;0,53645;1993,5;0,028049;1,38E-05
145;0,52976;1989,2;0,028454;1,40E-05
150;0,52326;1985,6;0,028865;1,42E-05
155;0,51692;1982,7;0,029282;1,44E-05
160;0,51075;1980,4;0,029705;1,46E-05
165;0,50473;1978,5;0,030135;1,48E-05
170;0,49886;1977,1;0,03057;1,50E-05
175;0,49313;1976,1;0,03101;1,52E-05
180;0,48754;1975,5;0,031456;1,54E-05
185;0,48208;1975,2;0,031907;1,56E-05
190;0,47675;1975,2;0,032363;1,58E-05
195;0,47154;1975,4;0,032824;1,60E-05
200;0,46645;1975,9;0,03329;1,62E-05
